id2,geography,population,housing,income,employment,poverty
06037122410,"Census Tract 1224.10, Los Angeles County, California",3679,138600,26429,55.7,1251
06037122420,"Census Tract 1224.20, Los Angeles County, California",5029,351700,35098,60.6,1490
06037123010,"Census Tract 1230.10, Los Angeles County, California",4713,283100,42222,57.1,1256
06037123020,"Census Tract 1230.20, Los Angeles County, California",3395,309400,48167,58.2,657
06037123103,"Census Tract 1231.03, Los Angeles County, California",4587,314900,47346,63.7,496
06037123104,"Census Tract 1231.04, Los Angeles County, California",4346,374800,40842,60.4,838
06037123203,"Census Tract 1232.03, Los Angeles County, California",3839,287800,30204,58.1,1137
06037123204,"Census Tract 1232.04, Los Angeles County, California",3378,265600,31513,64.1,1031
06037123205,"Census Tract 1232.05, Los Angeles County, California",2914,397300,40278,57.6,871
06037123206,"Census Tract 1232.06, Los Angeles County, California",2752,311600,37119,58.2,904
06037123301,"Census Tract 1233.01, Los Angeles County, California",4553,323700,53065,63.7,648
06037123303,"Census Tract 1233.03, Los Angeles County, California",3381,377100,42344,54.1,758
06037123304,"Census Tract 1233.04, Los Angeles County, California",4711,388100,29583,44.3,1164
06037123410,"Census Tract 1234.10, Los Angeles County, California",4046,366700,32955,52.1,1015
06037123420,"Census Tract 1234.20, Los Angeles County, California",4449,364500,31808,59.2,1210
06037123510,"Census Tract 1235.10, Los Angeles County, California",4920,495300,42570,58.7,1103
06037123520,"Census Tract 1235.20, Los Angeles County, California",2725,384100,39417,55.2,815
06037123601,"Census Tract 1236.01, Los Angeles County, California",5557,414500,48017,61.7,947
06037123602,"Census Tract 1236.02, Los Angeles County, California",3412,500600,40558,61.2,814
06037123700,"Census Tract 1237, Los Angeles County, California",4012,395700,53000,59.3,711
06037123800,"Census Tract 1238, Los Angeles County, California",5212,548000,40565,55.2,951
06037123901,"Census Tract 1239.01, Los Angeles County, California",4481,435500,43929,65.5,754
06037123902,"Census Tract 1239.02, Los Angeles County, California",2622,483000,54375,67.8,421
06037124000,"Census Tract 1240, Los Angeles County, California",4682,657900,87241,65.4,361
06037124102,"Census Tract 1241.02, Los Angeles County, California",3748,533700,46657,68.9,735
06037124103,"Census Tract 1241.03, Los Angeles County, California",2023,296900,43231,55.1,701
06037124104,"Census Tract 1241.04, Los Angeles County, California",2778,407100,41316,62.8,686
06037124105,"Census Tract 1241.05, Los Angeles County, California",2598,347500,35521,52.2,851
06037124201,"Census Tract 1242.01, Los Angeles County, California",3474,380700,58779,63.7,260
06037124203,"Census Tract 1242.03, Los Angeles County, California",2659,333300,40139,57.4,770
06037124204,"Census Tract 1242.04, Los Angeles County, California",3230,433900,35071,67.7,963
06037124300,"Census Tract 1243, Los Angeles County, California",3944,379900,51453,60.6,535
06037124400,"Census Tract 1244, Los Angeles County, California",4100,537300,55037,62.8,667
06037124500,"Census Tract 1245, Los Angeles County, California",3055,614900,64179,65.6,254
06037124600,"Census Tract 1246, Los Angeles County, California",3319,687700,74881,67.2,207
06037124700,"Census Tract 1247, Los Angeles County, California",4728,700200,71599,56.8,397
06037124902,"Census Tract 1249.02, Los Angeles County, California",2903,482000,47206,53.6,264
06037124903,"Census Tract 1249.03, Los Angeles County, California",3383,324300,48804,52.1,707
06037125100,"Census Tract 1251, Los Angeles County, California",5438,679800,62219,71.4,389
06037125200,"Census Tract 1252, Los Angeles County, California",3920,544000,51212,71.2,571
06037125310,"Census Tract 1253.10, Los Angeles County, California",4303,434200,40804,57.4,1113
06037125320,"Census Tract 1253.20, Los Angeles County, California",5234,287900,44468,65.3,930
06037125401,"Census Tract 1254.01, Los Angeles County, California",3685,318800,51971,69.1,706
06037125402,"Census Tract 1254.02, Los Angeles County, California",3892,448900,73398,74.8,370
06037125501,"Census Tract 1255.01, Los Angeles County, California",3195,520400,51591,74.6,379
06037125502,"Census Tract 1255.02, Los Angeles County, California",3030,484000,53548,74.7,645
06037125600,"Census Tract 1256, Los Angeles County, California",2655,668200,86970,62.6,156
06037127102,"Census Tract 1271.02, Los Angeles County, California",5687,312000,33488,57.1,1789
06037127103,"Census Tract 1271.03, Los Angeles County, California",3054,160300,38438,63.3,684
06037127104,"Census Tract 1271.04, Los Angeles County, California",4149,350600,38603,58.9,1179
06037127210,"Census Tract 1272.10, Los Angeles County, California",5478,320100,45962,61.3,1382
06037127220,"Census Tract 1272.20, Los Angeles County, California",5235,302200,33500,59.3,1762
06037127300,"Census Tract 1273, Los Angeles County, California",4581,313600,42604,63.6,1116
06037127400,"Census Tract 1274, Los Angeles County, California",6035,291100,36176,61,1798
06037127520,"Census Tract 1275.20, Los Angeles County, California",3941,0,37694,64.6,1192
06037127603,"Census Tract 1276.03, Los Angeles County, California",3024,317200,52635,57.8,756
06037127604,"Census Tract 1276.04, Los Angeles County, California",2922,376800,22323,53.9,803
06037127605,"Census Tract 1276.05, Los Angeles County, California",3324,415000,37192,65.8,740
06037127606,"Census Tract 1276.06, Los Angeles County, California",3738,358000,45190,64.8,669
06037127711,"Census Tract 1277.11, Los Angeles County, California",3621,458000,58207,66.8,499
06037127712,"Census Tract 1277.12, Los Angeles County, California",2729,435600,27837,55.4,1002
06037127803,"Census Tract 1278.03, Los Angeles County, California",3737,417200,35395,61.1,728
06037127804,"Census Tract 1278.04, Los Angeles County, California",3788,304400,39179,60,706
06037127805,"Census Tract 1278.05, Los Angeles County, California",4447,365000,42056,56.9,851
06037127806,"Census Tract 1278.06, Los Angeles County, California",3540,349000,33382,59,891
06037127910,"Census Tract 1279.10, Los Angeles County, California",5416,344400,31524,57,1506
06037127920,"Census Tract 1279.20, Los Angeles County, California",3616,331600,42150,62.4,888
06037128101,"Census Tract 1281.01, Los Angeles County, California",3447,433400,47206,59.1,457
06037128102,"Census Tract 1281.02, Los Angeles County, California",4505,351600,36295,63.4,1423
06037128210,"Census Tract 1282.10, Los Angeles County, California",5211,168800,30710,58.3,2225
06037128220,"Census Tract 1282.20, Los Angeles County, California",2905,473000,46127,65.9,517
06037128302,"Census Tract 1283.02, Los Angeles County, California",5119,328800,30316,60.2,1831
06037128303,"Census Tract 1283.03, Los Angeles County, California",3531,157900,31411,58.6,1386
06037128400,"Census Tract 1284, Los Angeles County, California",4126,472700,53349,62.8,236
06037128500,"Census Tract 1285, Los Angeles County, California",4263,429800,63246,68.3,545
06037128601,"Census Tract 1286.01, Los Angeles County, California",4048,446300,33687,68.4,1322
06037128602,"Census Tract 1286.02, Los Angeles County, California",2885,646000,82929,67.9,226
06037128702,"Census Tract 1287.02, Los Angeles County, California",5484,588600,64357,66.6,637
06037128801,"Census Tract 1288.01, Los Angeles County, California",3355,403800,60184,70.8,394
06037128802,"Census Tract 1288.02, Los Angeles County, California",4712,568400,76281,72,206
06037128910,"Census Tract 1289.10, Los Angeles County, California",3580,566800,63603,73.3,189
06037131010,"Census Tract 1310.10, Los Angeles County, California",6393,333200,40747,59.9,1832
06037131020,"Census Tract 1310.20, Los Angeles County, California",5643,318400,56125,58.8,876
06037131100,"Census Tract 1311, Los Angeles County, California",3610,385700,74643,62.9,293
06037131200,"Census Tract 1312, Los Angeles County, California",3257,358400,65938,60.5,429
06037131300,"Census Tract 1313, Los Angeles County, California",5058,325600,62328,60,523
06037131400,"Census Tract 1314, Los Angeles County, California",5753,323000,56646,60.7,644
06037131600,"Census Tract 1316, Los Angeles County, California",5410,356200,68898,57,429
06037131701,"Census Tract 1317.01, Los Angeles County, California",4869,265900,53259,62,847
06037131702,"Census Tract 1317.02, Los Angeles County, California",3503,296000,56652,65.2,660
06037131800,"Census Tract 1318, Los Angeles County, California",5941,349500,53243,56.3,967
06037131900,"Census Tract 1319, Los Angeles County, California",4816,328500,62668,61.5,729
06037132001,"Census Tract 1320.01, Los Angeles County, California",3200,376100,56850,59.1,215
06037132002,"Census Tract 1320.02, Los Angeles County, California",3284,412700,82500,60.4,275
06037132101,"Census Tract 1321.01, Los Angeles County, California",4122,398900,57270,64,579
06037132102,"Census Tract 1321.02, Los Angeles County, California",5031,294300,52296,59.3,1048
06037132300,"Census Tract 1323, Los Angeles County, California",7086,324000,31231,54.5,1756
06037132501,"Census Tract 1325.01, Los Angeles County, California",3387,331800,42768,49.9,280
06037132502,"Census Tract 1325.02, Los Angeles County, California",3880,238400,44206,57.3,635
06037132700,"Census Tract 1327, Los Angeles County, California",5310,366600,43125,59.6,1534
06037132900,"Census Tract 1329, Los Angeles County, California",3784,502500,69280,57.4,400
06037133000,"Census Tract 1330, Los Angeles County, California",4828,308800,66580,53.3,441
06037133100,"Census Tract 1331, Los Angeles County, California",5818,384300,57826,59.1,748
06037134001,"Census Tract 1340.01, Los Angeles County, California",3856,323800,38850,61.7,819
06037134002,"Census Tract 1340.02, Los Angeles County, California",3711,359100,57765,61.9,607
06037134101,"Census Tract 1341.01, Los Angeles County, California",6020,384900,70968,58.7,1154
06037134103,"Census Tract 1341.03, Los Angeles County, California",4462,357100,60935,60.8,744
06037134104,"Census Tract 1341.04, Los Angeles County, California",4155,382000,59675,61.7,706
06037134201,"Census Tract 1342.01, Los Angeles County, California",4469,361500,90417,61.9,489
06037134302,"Census Tract 1343.02, Los Angeles County, California",3689,403000,80761,62,104
06037134303,"Census Tract 1343.03, Los Angeles County, California",5537,354800,82951,61.7,479
06037134304,"Census Tract 1343.04, Los Angeles County, California",3079,372500,72872,54.5,560
06037134305,"Census Tract 1343.05, Los Angeles County, California",4590,0,32731,62.5,2141
06037134306,"Census Tract 1343.06, Los Angeles County, California",3451,241500,63351,52.6,612
06037134421,"Census Tract 1344.21, Los Angeles County, California",3921,625700,105625,59.5,209
06037134422,"Census Tract 1344.22, Los Angeles County, California",4753,495300,96208,56,477
06037134423,"Census Tract 1344.23, Los Angeles County, California",3530,564600,74896,54.5,224
06037134424,"Census Tract 1344.24, Los Angeles County, California",2837,782500,139537,64.1,3
06037134520,"Census Tract 1345.20, Los Angeles County, California",5256,190000,38286,64,1287
06037134521,"Census Tract 1345.21, Los Angeles County, California",2477,352200,40515,71.6,510
06037134522,"Census Tract 1345.22, Los Angeles County, California",3791,301700,39970,66.5,902
06037134710,"Census Tract 1347.10, Los Angeles County, California",5769,349700,37436,67,1811
06037134720,"Census Tract 1347.20, Los Angeles County, California",4927,282900,51156,65.2,703
06037134800,"Census Tract 1348, Los Angeles County, California",5931,345000,63594,56.1,694
06037134901,"Census Tract 1349.01, Los Angeles County, California",2956,419200,54464,58,486
06037134903,"Census Tract 1349.03, Los Angeles County, California",4617,0,55895,68.2,367
06037134904,"Census Tract 1349.04, Los Angeles County, California",4641,366600,47257,58.1,610
06037134905,"Census Tract 1349.05, Los Angeles County, California",2871,650400,91250,76.6,184
06037135102,"Census Tract 1351.02, Los Angeles County, California",3706,470500,79671,55.7,641
06037135111,"Census Tract 1351.11, Los Angeles County, California",2985,417600,84279,67.1,256
06037135113,"Census Tract 1351.13, Los Angeles County, California",2928,168800,75536,68.4,382
06037135114,"Census Tract 1351.14, Los Angeles County, California",4366,347600,54087,53.1,554
06037135201,"Census Tract 1352.01, Los Angeles County, California",2649,490600,78472,50.3,216
06037135202,"Census Tract 1352.02, Los Angeles County, California",4364,456800,86507,57.9,287
06037135203,"Census Tract 1352.03, Los Angeles County, California",7298,470900,84688,56.5,633
06037137000,"Census Tract 1370, Los Angeles County, California",4880,658900,97750,55.1,149
06037137103,"Census Tract 1371.03, Los Angeles County, California",4390,291800,74821,76.2,245
06037137104,"Census Tract 1371.04, Los Angeles County, California",2720,566900,80556,55.6,221
06037137201,"Census Tract 1372.01, Los Angeles County, California",5670,541800,60754,59.4,562
06037137301,"Census Tract 1373.01, Los Angeles County, California",2284,715300,148505,49.7,140
06037137302,"Census Tract 1373.02, Los Angeles County, California",4571,644100,105050,58.6,287
06037137401,"Census Tract 1374.01, Los Angeles County, California",4183,602500,101111,61,326
06037137402,"Census Tract 1374.02, Los Angeles County, California",5904,654900,86053,55,651
06037137501,"Census Tract 1375.01, Los Angeles County, California",3640,813300,67702,54.4,369
06037137502,"Census Tract 1375.02, Los Angeles County, California",3846,577500,78789,53.4,167
06037137504,"Census Tract 1375.04, Los Angeles County, California",1885,843000,139773,57.6,55
06037138000,"Census Tract 1380, Los Angeles County, California",4585,669300,120284,62.9,256
06037139001,"Census Tract 1390.01, Los Angeles County, California",4907,543300,71146,71.3,702
06037139200,"Census Tract 1392, Los Angeles County, California",5393,416700,59625,57.2,735
06037139301,"Census Tract 1393.01, Los Angeles County, California",5064,553900,92567,57,453
06037139302,"Census Tract 1393.02, Los Angeles County, California",4183,220600,49684,61,720
06037139303,"Census Tract 1393.03, Los Angeles County, California",4613,264200,44850,57.2,1186
06037139401,"Census Tract 1394.01, Los Angeles County, California",2961,519700,57880,64.7,460
06037139402,"Census Tract 1394.02, Los Angeles County, California",3205,739600,89008,39.6,508
06037139502,"Census Tract 1395.02, Los Angeles County, California",2853,522300,56930,51.1,356
06037139503,"Census Tract 1395.03, Los Angeles County, California",5197,276600,43971,61.3,1277
06037139504,"Census Tract 1395.04, Los Angeles County, California",3445,319100,45385,52.2,536
06037139600,"Census Tract 1396, Los Angeles County, California",5131,484900,77473,65.5,624
06037139701,"Census Tract 1397.01, Los Angeles County, California",4959,894600,120925,56.4,198
06037139702,"Census Tract 1397.02, Los Angeles County, California",5863,"1000000",146471,54.2,342
06037139703,"Census Tract 1397.03, Los Angeles County, California",2744,"1000000",114244,64.9,196
06037139801,"Census Tract 1398.01, Los Angeles County, California",3210,981000,157841,50.4,67
06037139802,"Census Tract 1398.02, Los Angeles County, California",3813,987000,139740,51.1,209
06037141101,"Census Tract 1411.01, Los Angeles County, California",4331,573000,71086,67.7,402
06037141102,"Census Tract 1411.02, Los Angeles County, California",3047,863700,76607,73.7,165
